time,host,currentdbname,isolationlevel,transactionname,lockMode,count,"all_query"
"2025/12/24 09:19:00.700
2025/12/24 17:34:22.700
2025/12/24 17:38:45.980
2025/12/24 17:39:53.680
2025/12/24 17:40:56.370
2025/12/25 09:37:36.930",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",106,"("
"2025/12/29 15:48:09.800",WINFODB05ST11,"sps_db",read,"SELECT implicit_transaction","S X",2,"(@P0 bigint)declare @topId bigint,"
"2025/12/29 15:48:09.800",WINFODB05ST11,"sps_db",read,"SELECT implicit_transaction","S X",2,"(@P0 bigint,@P1 bigint)DELETE FROM event_record_links"
"2025/12/29 10:49:46.270",WINFODB05ST11,"sps_db",read,"implicit_transaction","S X",2,"(@P0 bigint,@P1 varbinary(8000),@P2 bigint)UPDATE competitors SET"
"2025/12/29 10:49:46.270",WINFODB05ST11,"sps_db",read,"implicit_transaction","S X",2,"(@P0 nvarchar(4000),@P1 bigint)DECLARE @sysRef nvarchar(70)"
"2025/12/22 12:02:22.630",WINDB09HV02N,master,read,"FILETABLE/HADR",X,1,"------------------------------------------------------------------------------"
"2025/12/24 09:19:00.700
2025/12/24 17:34:22.700
2025/12/24 17:39:53.680
2025/12/24 17:40:56.370
2025/12/25 09:37:36.930",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",93,"@account_number,"
"2025/12/22 10:58:34.520
2025/12/22 10:59:37.210
2025/12/24 17:34:22.700
2025/12/24 17:35:30.400
2025/12/24 17:38:45.980
2025/12/25 09:37:36.930",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",73,"@account_status,"
"2025/12/24 17:34:22.700
2025/12/24 17:35:30.400
2025/12/24 17:39:53.680
2025/12/24 17:40:56.370
2025/12/25 09:37:36.930",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",113,"@crm_case_id,"
"2025/12/24 17:34:22.700
2025/12/24 17:35:30.400
2025/12/24 17:38:45.980
2025/12/24 17:39:53.680
2025/12/24 17:40:56.370",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",54,"@customer_id,"
"2025/12/22 10:58:34.520
2025/12/22 10:59:37.210
2025/12/24 17:34:22.700
2025/12/24 17:35:30.400
2025/12/24 17:36:38.090",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",117,"@segment,"
"2025/12/24 17:34:22.700
2025/12/24 17:35:30.400
2025/12/24 17:38:45.980
2025/12/25 09:37:36.930",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",56,"@update_date     "
"2025/12/29 15:48:09.800",WINFODB05ST11,"sps_db",read,"SELECT implicit_transaction","S X",2,"frame procname=adhoc line=1 stmtstart=46 stmtend=216 sqlhandle=0x0200000054fbc91d1587ee10883d98b5f8262416db8a9f9e0000000000000000000000000000000000000000"
"2025/12/29 10:49:46.270",WINFODB05ST11,"sps_db",read,"implicit_transaction","S X",2,"frame procname=adhoc line=1 stmtstart=86 stmtend=284 sqlhandle=0x02000000395380230fbeb2bfee46b71d1c6ed8e0d8a6479f0000000000000000000000000000000000000000"
"2025/12/29 15:48:09.800",WINFODB05ST11,"sps_db",read,"SELECT implicit_transaction","S X",2,"frame procname=adhoc line=30 stmtstart=2422 stmtend=34630 sqlhandle=0x02000000d4e44825058f2d5f8c0c3a6310a9103d7442c75d0000000000000000000000000000000000000000"
"2025/12/29 10:49:46.270",WINFODB05ST11,"sps_db",read,"implicit_transaction","S X",2,"frame procname=adhoc line=6 stmtstart=182 stmtend=1568 sqlhandle=0x020000003600d03a142ea9c0182fb55f2b8b44d326608cf10000000000000000000000000000000000000000"
"2025/12/22 12:02:22.630",WINDB09HV02N,master,read,"FILETABLE/HADR",X,1,"frame procname=adhoc line=84 stmtstart=5350 stmtend=5730 sqlhandle=0x020000009b5090254ca6a45de1416dffb9b0eac3a16ca65e0000000000000000000000000000000000000000"
"2025/12/24 09:19:00.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",6,"frame procname=csa_db.dbo.usp_account_register line=53 stmtstart=3138 stmtend=3310 sqlhandle=0x03000600cb6e6d7594091501acae000001000000000000000000000000000000000000000000000000000000"
"2025/12/24 09:19:00.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",7,"frame procname=csa_db.dbo.usp_set_account_account_category line=44 stmtstart=2854 stmtend=3210 sqlhandle=0x03000600020737651b601c014faf000001000000000000000000000000000000000000000000000000000000"
"2025/12/22 10:58:34.520
2025/12/22 10:59:37.210
2025/12/24 09:19:00.700
2025/12/24 17:34:22.700
2025/12/24 17:35:30.400
2025/12/24 17:36:38.090
2025/12/24 17:38:45.980
2025/12/24 17:39:53.680
2025/12/24 17:40:56.370
2025/12/25 09:37:36.930",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",157,"frame procname=csa_db.dbo.usp_set_customer_profile line=48 stmtstart=2724 stmtend=3070 sqlhandle=0x03000600ec3b871cb075c700b8af000001000000000000000000000000000000000000000000000000000000"
"2025/12/22 10:58:34.520
2025/12/22 10:59:37.210
2025/12/24 17:34:22.700
2025/12/24 17:35:30.400
2025/12/25 09:37:36.930",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",117,"insert into dbo.account_customer values"
"2025/12/24 09:19:00.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",1,"keylock hobtid=72057594044940288 dbid=6 objectname=csa_db.dbo.account_account_category indexname=PK__account___AF91A6ACDC2BCF50 id=lock1ae2ec4f680 mode=RangeS-S associatedObjectId=72057594044940288"
"2025/12/24 17:34:22.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",2,"keylock hobtid=72057594048937984 dbid=6 objectname=csa_db.dbo.account_customer indexname=IX_account_customer_customer_id_account_number_account_status id=lock1a96cfd1b80 mode=RangeS-S associatedObjectId=72057594048937984"
"2025/12/24 17:34:22.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",2,"owner id=process1a9a5d5dc28 mode=RangeI-N requestType=convert"
"2025/12/24 17:34:22.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",1,"owner id=process1a9a5d5dc28 mode=RangeS-S"
"2025/12/24 09:19:00.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",2,"owner id=process1aaf7199088 mode=RangeS-S"
"2025/12/24 17:34:22.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",1,"owner-list"
"2025/12/24 09:19:00.700",WINFODB04ST11,"csa_db",serializable,"user_transaction","RangeI-N",6,"values(@account_id,@new_account_cateogory_id, @requested_by, @business_date     "
